transaction_id,date,scheme_name,transaction_type,amount,state,age_group,gender,city_tier
56,2025-05-30,SBI Bluechip Direct,Redemption,364865,Karnataka,60+,Male,T30
57,2025-10-27,ICICI Pru Bluechip Direct,Redemption,421815,Maharashtra,60+,Female,B30
58,2024-10-07,Nippon Large Cap Direct,SIP,112569,Kerala,36-45,Male,T30
59,2023-09-16,ABSL Frontline Equity Direct,Redemption,218616,Uttar Pradesh,18-25,Male,T30
60,2025-07-16,HDFC Top 100 Direct,SIP,114456,Rajasthan,18-25,Female,T30
61,2024-11-13,Kotak Bluechip Direct,SIP,255383,West Bengal,18-25,Male,T30
62,2023-01-25,ICICI Pru Bluechip Direct,SIP,464798,Maharashtra,18-25,Female,B30
63,2025-03-09,Axis Bluechip Direct,SIP,158226,Rajasthan,18-25,Female,T30
64,2025-05-04,Kotak Bluechip Direct,SIP,457497,Gujarat,26-35,Male,T30
65,2022-01-16,SBI Bluechip Direct,SIP,414966,Punjab,18-25,Female,B30
66,2024-09-12,Mirae Asset Large Cap Direct,Lumpsum,94484,Punjab,18-25,Female,B30
67,2025-11-22,ICICI Pru Bluechip Direct,Lumpsum,41649,Tamil Nadu,18-25,Male,T30
68,2023-07-27,Nippon Large Cap Direct,SIP,75788,West Bengal,36-45,Female,T30
69,2022-10-05,Kotak Bluechip Direct,SIP,2628,Rajasthan,46-60,Female,B30
70,2022-06-19,UTI Flexi Cap Direct,SIP,279922,Rajasthan,26-35,Female,B30
71,2022-03-22,UTI Flexi Cap Direct,Lumpsum,386967,Maharashtra,60+,Male,T30
72,2022-10-19,HDFC Top 100 Direct,SIP,116685,Rajasthan,46-60,Male,T30
73,2025-06-06,SBI Bluechip Direct,SIP,197228,Kerala,18-25,Female,B30
74,2024-03-04,Axis Bluechip Direct,SIP,347329,Gujarat,60+,Male,B30
75,2023-07-06,Mirae Asset Large Cap Direct,SIP,195711,Delhi,26-35,Female,T30
76,2025-06-16,Nippon Large Cap Direct,SIP,300384,West Bengal,26-35,Female,T30
77,2022-12-17,SBI Bluechip Direct,SIP,231698,Delhi,18-25,Male,B30
78,2022-04-01,DSP Top 100 Equity Direct,SIP,186731,Karnataka,36-45,Female,B30
79,2024-12-29,Nippon Large Cap Direct,SIP,238764,Maharashtra,36-45,Male,B30
80,2022-03-24,UTI Flexi Cap Direct,Lumpsum,27457,Delhi,46-60,Male,T30
81,2022-12-04,UTI Flexi Cap Direct,SIP,201163,Kerala,26-35,Male,T30
82,2024-06-11,UTI Flexi Cap Direct,Redemption,233872,Uttar Pradesh,18-25,Male,B30
83,2024-08-29,ICICI Pru Bluechip Direct,SIP,116333,Maharashtra,36-45,Female,B30
84,2022-08-08,ABSL Frontline Equity Direct,SIP,184141,Karnataka,26-35,Male,T30
85,2023-08-12,HDFC Top 100 Direct,SIP,114812,Rajasthan,60+,Female,T30
86,2023-09-07,Nippon Large Cap Direct,SIP,456132,Rajasthan,46-60,Female,T30
87,2023-08-18,Axis Bluechip Direct,SIP,247553,Karnataka,36-45,Female,T30
88,2022-06-11,ICICI Pru Bluechip Direct,SIP,469750,West Bengal,60+,Female,T30
89,2025-01-05,HDFC Top 100 Direct,SIP,78161,Maharashtra,26-35,Female,T30
90,2023-01-17,HDFC Top 100 Direct,SIP,233299,Maharashtra,46-60,Female,T30
91,2025-12-07,Mirae Asset Large Cap Direct,SIP,440668,Tamil Nadu,46-60,Female,T30
92,2022-08-07,HDFC Top 100 Direct,Redemption,284398,Rajasthan,60+,Female,T30
93,2025-08-07,UTI Flexi Cap Direct,SIP,61034,Tamil Nadu,36-45,Female,B30
94,2024-08-06,DSP Top 100 Equity Direct,SIP,191091,Delhi,18-25,Male,T30
95,2024-07-03,Mirae Asset Large Cap Direct,SIP,395286,Delhi,26-35,Female,T30
96,2025-08-15,ICICI Pru Bluechip Direct,Lumpsum,27456,Tamil Nadu,60+,Male,B30
97,2022-02-03,ABSL Frontline Equity Direct,Redemption,117503,Telangana,36-45,Female,T30
98,2025-12-18,ABSL Frontline Equity Direct,SIP,360075,Delhi,18-25,Male,T30
99,2025-08-13,DSP Top 100 Equity Direct,SIP,356829,Delhi,60+,Female,B30
100,2024-06-13,Nippon Large Cap Direct,Lumpsum,180904,West Bengal,46-60,Male,T30
101,2025-02-13,ICICI Pru Bluechip Direct,Lumpsum,384100,Kerala,36-45,Female,T30
102,2025-12-26,SBI Bluechip Direct,Lumpsum,230167,West Bengal,18-25,Male,T30
103,2022-08-09,Mirae Asset Large Cap Direct,Redemption,259815,Kerala,18-25,Male,B30
104,2025-08-26,ICICI Pru Bluechip Direct,SIP,435868,Andhra Pradesh,18-25,Male,T30
105,2024-02-02,Nippon Large Cap Direct,Lumpsum,242348,Andhra Pradesh,26-35,Male,B30
106,2023-03-10,UTI Flexi Cap Direct,SIP,305947,Kerala,18-25,Female,B30
107,2024-12-26,Axis Bluechip Direct,SIP,182764,Rajasthan,36-45,Female,T30
108,2025-03-21,Kotak Bluechip Direct,SIP,371542,Uttar Pradesh,26-35,Female,B30
109,2024-03-09,Kotak Bluechip Direct,SIP,137827,Karnataka,46-60,Female,T30
110,2022-04-18,ABSL Frontline Equity Direct,SIP,208381,Gujarat,36-45,Female,T30
111,2022-09-19,Mirae Asset Large Cap Direct,SIP,476579,Telangana,26-35,Female,T30
112,2022-03-10,DSP Top 100 Equity Direct,SIP,211790,Andhra Pradesh,46-60,Male,T30
113,2023-09-21,ABSL Frontline Equity Direct,SIP,480564,Rajasthan,18-25,Male,B30
114,2025-12-17,UTI Flexi Cap Direct,SIP,360048,Telangana,26-35,Female,T30
115,2024-09-16,HDFC Top 100 Direct,SIP,194434,Maharashtra,46-60,Female,T30
116,2023-12-09,HDFC Top 100 Direct,SIP,412059,Delhi,46-60,Female,T30
117,2024-12-05,ABSL Frontline Equity Direct,Lumpsum,355915,Uttar Pradesh,18-25,Male,B30
118,2023-10-19,Kotak Bluechip Direct,Lumpsum,459930,Punjab,46-60,Female,T30
119,2025-03-31,UTI Flexi Cap Direct,SIP,182386,Rajasthan,60+,Female,T30
120,2023-09-15,Nippon Large Cap Direct,Redemption,47171,West Bengal,60+,Female,T30
121,2022-07-23,ABSL Frontline Equity Direct,Lumpsum,192907,Punjab,36-45,Male,B30
122,2022-09-20,ABSL Frontline Equity Direct,SIP,451471,Telangana,26-35,Female,T30
123,2023-10-05,UTI Flexi Cap Direct,Lumpsum,305410,Uttar Pradesh,18-25,Male,T30
124,2025-04-22,Mirae Asset Large Cap Direct,SIP,144295,Delhi,26-35,Female,B30
125,2024-10-15,Mirae Asset Large Cap Direct,SIP,153275,Delhi,26-35,Male,T30
126,2024-04-07,Nippon Large Cap Direct,SIP,374158,Delhi,46-60,Female,T30
127,2025-08-20,HDFC Top 100 Direct,SIP,207527,Tamil Nadu,26-35,Female,B30
128,2025-04-15,UTI Flexi Cap Direct,SIP,439197,Rajasthan,46-60,Male,T30
129,2025-09-23,HDFC Top 100 Direct,SIP,152623,Rajasthan,60+,Female,B30
130,2024-02-25,DSP Top 100 Equity Direct,SIP,155966,West Bengal,26-35,Female,T30
131,2025-06-20,Mirae Asset Large Cap Direct,SIP,9164,Kerala,26-35,Male,T30
132,2025-11-09,SBI Bluechip Direct,SIP,144818,Delhi,18-25,Male,T30
133,2024-04-21,HDFC Top 100 Direct,Lumpsum,171496,West Bengal,36-45,Male,T30
134,2025-07-26,Mirae Asset Large Cap Direct,Lumpsum,226058,Telangana,18-25,Female,B30
135,2025-01-11,Kotak Bluechip Direct,Lumpsum,140110,Telangana,60+,Male,T30
136,2025-06-05,DSP Top 100 Equity Direct,SIP,176626,Tamil Nadu,46-60,Male,B30
137,2022-09-30,Nippon Large Cap Direct,SIP,336033,Delhi,46-60,Male,T30
138,2025-01-30,HDFC Top 100 Direct,SIP,473385,Gujarat,18-25,Female,T30
139,2023-05-13,Kotak Bluechip Direct,SIP,297939,Tamil Nadu,18-25,Female,B30
140,2022-05-09,Kotak Bluechip Direct,SIP,208812,Kerala,60+,Female,T30
141,2025-03-03,ICICI Pru Bluechip Direct,SIP,61786,Punjab,36-45,Male,B30
142,2025-09-21,Nippon Large Cap Direct,Lumpsum,34850,Kerala,36-45,Female,T30
143,2025-03-02,UTI Flexi Cap Direct,SIP,182924,Kerala,36-45,Female,B30
144,2023-03-31,UTI Flexi Cap Direct,SIP,196659,Punjab,18-25,Female,T30
145,2024-09-30,UTI Flexi Cap Direct,Lumpsum,317585,Karnataka,18-25,Male,T30
146,2024-05-30,Nippon Large Cap Direct,SIP,398000,Tamil Nadu,36-45,Female,T30
147,2023-01-04,Axis Bluechip Direct,Redemption,475288,Delhi,46-60,Male,B30
148,2023-08-27,DSP Top 100 Equity Direct,SIP,47230,West Bengal,60+,Female,T30
149,2023-03-10,Axis Bluechip Direct,SIP,411836,Tamil Nadu,18-25,Female,T30
150,2022-07-09,UTI Flexi Cap Direct,SIP,323938,Rajasthan,46-60,Female,T30
151,2025-05-22,ABSL Frontline Equity Direct,Redemption,202710,Karnataka,46-60,Female,B30
152,2023-08-03,SBI Bluechip Direct,Redemption,48631,Uttar Pradesh,36-45,Male,T30
153,2024-11-25,Nippon Large Cap Direct,Lumpsum,72220,Tamil Nadu,36-45,Male,T30
154,2025-08-17,UTI Flexi Cap Direct,Lumpsum,62721,Gujarat,18-25,Female,B30
155,2022-10-09,UTI Flexi Cap Direct,Redemption,335588,Delhi,60+,Male,T30
156,2024-06-28,Mirae Asset Large Cap Direct,SIP,236682,West Bengal,46-60,Female,B30
157,2022-06-27,HDFC Top 100 Direct,SIP,14858,Delhi,60+,Female,B30
158,2022-09-16,HDFC Top 100 Direct,SIP,259465,Kerala,26-35,Male,B30
159,2022-08-14,UTI Flexi Cap Direct,SIP,46309,Kerala,36-45,Female,T30
160,2023-02-01,DSP Top 100 Equity Direct,Lumpsum,310919,Punjab,60+,Female,T30
161,2023-09-08,DSP Top 100 Equity Direct,SIP,482027,Delhi,18-25,Female,B30
162,2023-02-06,ABSL Frontline Equity Direct,SIP,231345,Uttar Pradesh,46-60,Male,B30
163,2023-03-04,SBI Bluechip Direct,SIP,93112,West Bengal,18-25,Female,B30
164,2023-11-13,Nippon Large Cap Direct,SIP,463580,Uttar Pradesh,36-45,Male,T30
165,2022-02-15,UTI Flexi Cap Direct,Lumpsum,391854,West Bengal,26-35,Male,B30
166,2025-01-15,Axis Bluechip Direct,SIP,430185,Telangana,18-25,Female,T30
167,2024-01-04,UTI Flexi Cap Direct,Lumpsum,272028,Karnataka,26-35,Female,B30
168,2023-10-06,UTI Flexi Cap Direct,SIP,130829,Delhi,26-35,Female,B30
169,2025-11-07,HDFC Top 100 Direct,Lumpsum,119327,Uttar Pradesh,36-45,Female,B30
170,2024-08-27,ABSL Frontline Equity Direct,SIP,266009,Uttar Pradesh,18-25,Male,T30
171,2022-11-24,ICICI Pru Bluechip Direct,Redemption,373672,Rajasthan,46-60,Male,B30
172,2025-10-04,HDFC Top 100 Direct,SIP,486263,Gujarat,26-35,Female,B30
173,2024-08-15,ICICI Pru Bluechip Direct,SIP,31032,Punjab,60+,Female,T30
174,2022-05-19,Mirae Asset Large Cap Direct,Lumpsum,268035,Tamil Nadu,60+,Female,B30
175,2022-02-12,Kotak Bluechip Direct,SIP,223192,Kerala,18-25,Male,T30
176,2025-06-09,Kotak Bluechip Direct,Lumpsum,193932,Delhi,26-35,Male,T30
177,2025-08-19,SBI Bluechip Direct,Lumpsum,218139,West Bengal,18-25,Male,T30
178,2022-06-14,DSP Top 100 Equity Direct,SIP,130377,Gujarat,36-45,Male,T30
179,2022-03-08,SBI Bluechip Direct,SIP,201721,Maharashtra,46-60,Male,T30
180,2022-12-04,Mirae Asset Large Cap Direct,SIP,26067,Gujarat,46-60,Male,B30
181,2024-06-08,DSP Top 100 Equity Direct,Lumpsum,37117,Delhi,26-35,Male,T30
182,2023-05-02,Kotak Bluechip Direct,SIP,412964,Maharashtra,60+,Female,T30
183,2022-09-29,UTI Flexi Cap Direct,SIP,75717,Maharashtra,60+,Female,T30
184,2023-08-23,ICICI Pru Bluechip Direct,Lumpsum,305007,Maharashtra,26-35,Male,T30
185,2022-01-26,Mirae Asset Large Cap Direct,SIP,253746,Gujarat,46-60,Male,B30
186,2022-10-22,SBI Bluechip Direct,SIP,253334,Delhi,26-35,Male,T30
187,2025-05-12,Nippon Large Cap Direct,SIP,396743,Rajasthan,60+,Male,T30
188,2024-03-20,DSP Top 100 Equity Direct,SIP,459559,Kerala,46-60,Male,T30
189,2025-07-18,SBI Bluechip Direct,SIP,408934,Karnataka,36-45,Female,T30
190,2023-11-24,SBI Bluechip Direct,Lumpsum,144858,Delhi,60+,Female,B30
191,2024-10-12,Nippon Large Cap Direct,SIP,247583,Maharashtra,26-35,Female,T30
192,2025-04-21,Kotak Bluechip Direct,Redemption,136275,Delhi,60+,Female,T30
193,2022-04-12,HDFC Top 100 Direct,Lumpsum,104804,Uttar Pradesh,60+,Female,B30
194,2023-11-12,HDFC Top 100 Direct,Redemption,292647,Delhi,60+,Male,T30
195,2024-06-03,DSP Top 100 Equity Direct,Redemption,145149,Andhra Pradesh,26-35,Male,B30
196,2023-05-29,Nippon Large Cap Direct,Lumpsum,266142,Punjab,18-25,Male,T30
197,2024-09-26,Kotak Bluechip Direct,Redemption,359108,Telangana,60+,Female,B30
198,2022-08-27,Axis Bluechip Direct,SIP,5270,Kerala,36-45,Female,T30
199,2024-12-13,DSP Top 100 Equity Direct,SIP,490764,Andhra Pradesh,36-45,Female,T30
200,2023-11-23,Axis Bluechip Direct,Lumpsum,353472,Punjab,36-45,Female,T30
201,2023-02-03,ICICI Pru Bluechip Direct,SIP,262603,West Bengal,26-35,Male,T30
202,2025-12-26,ABSL Frontline Equity Direct,SIP,287629,Maharashtra,26-35,Female,T30
203,2023-01-03,HDFC Top 100 Direct,SIP,46331,Delhi,26-35,Male,T30
204,2025-08-19,HDFC Top 100 Direct,Redemption,292173,Maharashtra,18-25,Male,B30
205,2023-07-13,Axis Bluechip Direct,SIP,334644,Uttar Pradesh,60+,Male,B30
206,2024-11-09,ABSL Frontline Equity Direct,Lumpsum,320811,Delhi,36-45,Female,T30
207,2025-12-30,HDFC Top 100 Direct,Redemption,299748,Maharashtra,18-25,Female,T30
208,2023-08-24,DSP Top 100 Equity Direct,SIP,293869,Kerala,18-25,Male,B30
209,2025-04-07,UTI Flexi Cap Direct,Lumpsum,480743,Punjab,46-60,Male,T30
210,2025-08-21,HDFC Top 100 Direct,SIP,196431,Tamil Nadu,36-45,Male,B30
211,2024-10-23,HDFC Top 100 Direct,SIP,127673,Telangana,18-25,Female,T30
212,2025-08-23,ICICI Pru Bluechip Direct,Lumpsum,308668,Gujarat,18-25,Male,B30
213,2024-11-19,Kotak Bluechip Direct,Lumpsum,377748,Maharashtra,18-25,Female,B30
214,2024-08-11,DSP Top 100 Equity Direct,SIP,354621,Tamil Nadu,26-35,Female,T30
215,2022-08-13,UTI Flexi Cap Direct,Redemption,319501,Andhra Pradesh,46-60,Female,T30
216,2023-10-21,DSP Top 100 Equity Direct,SIP,333376,Punjab,60+,Male,T30
217,2024-04-28,Nippon Large Cap Direct,SIP,442993,Tamil Nadu,36-45,Male,T30
218,2022-11-06,SBI Bluechip Direct,SIP,420459,West Bengal,18-25,Male,T30
219,2023-02-02,HDFC Top 100 Direct,Lumpsum,195613,Gujarat,60+,Female,T30
220,2025-12-14,ICICI Pru Bluechip Direct,SIP,480134,Delhi,36-45,Male,T30
221,2023-03-06,Mirae Asset Large Cap Direct,SIP,405177,Andhra Pradesh,18-25,Female,T30
222,2022-10-09,HDFC Top 100 Direct,SIP,4438,Maharashtra,26-35,Female,T30
223,2022-09-02,ABSL Frontline Equity Direct,SIP,340340,Andhra Pradesh,46-60,Female,B30
224,2023-06-29,DSP Top 100 Equity Direct,SIP,32005,West Bengal,60+,Male,T30
225,2024-08-17,ICICI Pru Bluechip Direct,SIP,50732,Punjab,26-35,Male,B30
226,2025-10-03,ABSL Frontline Equity Direct,SIP,174656,Gujarat,26-35,Female,T30
227,2022-07-13,Axis Bluechip Direct,Lumpsum,76074,West Bengal,18-25,Male,T30
228,2024-09-03,Axis Bluechip Direct,SIP,277738,Telangana,18-25,Male,B30
229,2024-10-07,ICICI Pru Bluechip Direct,SIP,315672,Kerala,26-35,Male,T30
230,2023-01-15,ABSL Frontline Equity Direct,SIP,325010,West Bengal,18-25,Female,T30
231,2023-10-08,Mirae Asset Large Cap Direct,Lumpsum,208367,Maharashtra,60+,Male,T30
232,2024-08-04,DSP Top 100 Equity Direct,Redemption,448203,Punjab,18-25,Female,B30
233,2023-07-28,HDFC Top 100 Direct,Lumpsum,415382,Tamil Nadu,46-60,Female,B30
234,2024-12-18,Kotak Bluechip Direct,Lumpsum,367274,Uttar Pradesh,18-25,Male,T30
235,2025-03-24,Axis Bluechip Direct,SIP,57323,Delhi,26-35,Female,T30
236,2023-11-02,SBI Bluechip Direct,SIP,331187,Karnataka,46-60,Female,T30
237,2023-10-17,HDFC Top 100 Direct,SIP,465560,Maharashtra,18-25,Female,T30
238,2024-01-15,Mirae Asset Large Cap Direct,SIP,29994,Rajasthan,36-45,Male,T30
239,2025-06-24,Nippon Large Cap Direct,SIP,206415,Punjab,46-60,Male,T30
240,2024-10-12,UTI Flexi Cap Direct,Lumpsum,455841,Gujarat,60+,Male,T30
241,2022-05-23,DSP Top 100 Equity Direct,Lumpsum,9319,Telangana,46-60,Male,T30
242,2024-06-18,Kotak Bluechip Direct,SIP,306179,Kerala,36-45,Female,B30
243,2025-11-27,UTI Flexi Cap Direct,Lumpsum,105010,Karnataka,26-35,Male,B30
244,2024-04-03,DSP Top 100 Equity Direct,SIP,394155,Uttar Pradesh,60+,Male,B30
245,2024-10-10,ABSL Frontline Equity Direct,Redemption,246234,Tamil Nadu,36-45,Female,T30
246,2023-08-26,DSP Top 100 Equity Direct,SIP,291873,Karnataka,36-45,Male,T30
247,2023-10-30,Mirae Asset Large Cap Direct,SIP,462046,Rajasthan,60+,Male,T30
248,2025-06-19,HDFC Top 100 Direct,SIP,312508,Delhi,18-25,Female,T30
249,2025-02-10,Kotak Bluechip Direct,SIP,37449,Telangana,26-35,Female,T30
250,2023-09-29,HDFC Top 100 Direct,SIP,461386,Tamil Nadu,18-25,Male,T30
251,2024-12-22,Axis Bluechip Direct,Lumpsum,276467,Maharashtra,60+,Female,T30
252,2025-02-02,Kotak Bluechip Direct,SIP,431808,West Bengal,60+,Female,B30
253,2025-01-08,HDFC Top 100 Direct,SIP,13577,Karnataka,36-45,Male,T30
254,2024-11-02,SBI Bluechip Direct,SIP,36680,Punjab,18-25,Female,B30
255,2022-08-26,Mirae Asset Large Cap Direct,SIP,416041,Andhra Pradesh,18-25,Female,T30
256,2022-04-28,Kotak Bluechip Direct,SIP,177371,West Bengal,26-35,Male,T30
257,2022-08-20,SBI Bluechip Direct,SIP,5430,Delhi,26-35,Male,T30
258,2023-08-10,Nippon Large Cap Direct,SIP,241487,Gujarat,18-25,Male,T30
259,2022-07-17,Nippon Large Cap Direct,SIP,200848,Uttar Pradesh,46-60,Female,T30
260,2022-08-08,Mirae Asset Large Cap Direct,SIP,310286,Punjab,26-35,Female,B30
261,2024-12-24,Nippon Large Cap Direct,Lumpsum,353356,Tamil Nadu,60+,Female,B30
262,2024-11-20,Kotak Bluechip Direct,SIP,103155,Telangana,18-25,Female,T30
263,2024-06-08,UTI Flexi Cap Direct,Lumpsum,69697,Delhi,60+,Male,T30
264,2022-12-27,SBI Bluechip Direct,Lumpsum,199593,Delhi,46-60,Female,T30
265,2024-03-05,DSP Top 100 Equity Direct,SIP,310123,Maharashtra,26-35,Male,T30
266,2023-02-14,Mirae Asset Large Cap Direct,SIP,75174,West Bengal,18-25,Female,T30
267,2024-06-12,HDFC Top 100 Direct,SIP,432389,Delhi,26-35,Female,T30
268,2023-12-20,UTI Flexi Cap Direct,SIP,77699,Uttar Pradesh,18-25,Male,B30
269,2024-08-19,HDFC Top 100 Direct,SIP,392047,Rajasthan,46-60,Male,B30
270,2023-07-07,ABSL Frontline Equity Direct,SIP,483165,Punjab,36-45,Male,T30
271,2022-07-06,Mirae Asset Large Cap Direct,SIP,310543,Telangana,60+,Male,B30
272,2025-01-21,Kotak Bluechip Direct,Lumpsum,125862,Gujarat,18-25,Female,B30
273,2025-03-05,ICICI Pru Bluechip Direct,SIP,186131,Delhi,26-35,Female,B30
274,2024-01-29,SBI Bluechip Direct,Lumpsum,409265,Andhra Pradesh,46-60,Male,T30
275,2022-03-15,Kotak Bluechip Direct,SIP,253833,Punjab,26-35,Female,T30
276,2022-03-15,DSP Top 100 Equity Direct,Lumpsum,424552,Delhi,36-45,Male,B30
277,2023-11-12,SBI Bluechip Direct,SIP,286898,Tamil Nadu,60+,Female,T30
278,2024-02-13,ICICI Pru Bluechip Direct,SIP,365856,Uttar Pradesh,26-35,Female,T30
279,2023-05-22,HDFC Top 100 Direct,SIP,237618,Delhi,26-35,Male,T30
280,2023-12-05,Kotak Bluechip Direct,SIP,22478,Rajasthan,60+,Female,T30
281,2024-03-31,Axis Bluechip Direct,SIP,45852,Telangana,36-45,Male,B30
282,2022-08-16,UTI Flexi Cap Direct,Redemption,174384,Maharashtra,18-25,Female,T30
283,2024-01-17,HDFC Top 100 Direct,Redemption,11667,Uttar Pradesh,26-35,Male,T30
284,2022-04-21,UTI Flexi Cap Direct,SIP,21631,Telangana,36-45,Male,T30
285,2024-04-27,HDFC Top 100 Direct,Lumpsum,79596,Kerala,26-35,Female,T30
286,2025-08-23,Nippon Large Cap Direct,Lumpsum,50460,Uttar Pradesh,18-25,Male,T30
287,2024-12-12,ABSL Frontline Equity Direct,Lumpsum,477705,Karnataka,46-60,Female,B30
288,2025-02-12,Kotak Bluechip Direct,SIP,182981,Andhra Pradesh,60+,Female,B30
289,2024-01-01,UTI Flexi Cap Direct,Redemption,74233,Delhi,26-35,Female,T30
290,2024-01-19,Nippon Large Cap Direct,SIP,404218,Delhi,46-60,Female,T30
291,2023-07-20,HDFC Top 100 Direct,Redemption,167941,Rajasthan,46-60,Female,T30
292,2022-12-21,UTI Flexi Cap Direct,SIP,482026,Delhi,46-60,Female,B30
293,2022-09-14,ABSL Frontline Equity Direct,SIP,326192,Kerala,18-25,Male,T30
294,2025-06-09,SBI Bluechip Direct,SIP,260468,Tamil Nadu,36-45,Male,B30
295,2023-09-02,HDFC Top 100 Direct,Redemption,15156,Andhra Pradesh,36-45,Male,T30
